Fetching page 1 (initial)
Episode 1: 330707613 (episode=unchanged, transcript=unchanged)
Episode 1100: 29553860 (episode=new, transcript=new)
Fetching page 12 (AAAADAEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAAHC9MQAAAFkaQajAA)
Episode 1101: 29548505 (episode=new, transcript=new)
Episode 1102: 29513164 (episode=new, transcript=new)
Episode 1103: 29494273 (episode=new, transcript=new)
Episode 1104: 29483421 (episode=new, transcript=new)
Episode 1105: 29458289 (episode=new, transcript=new)
Episode 1106: 29443475 (episode=new, transcript=new)
Episode 1107: 29411563 (episode=new, transcript=new)
Episode 1108: 29394132 (episode=new, transcript=new)
Episode 1109: 29385379 (episode=new, transcript=new)
Episode 1110: 29358962 (episode=new, transcript=new)
Episode 1111: 29324210 (episode=new, transcript=new)
Episode 1112: 29264138 (episode=new, transcript=new)
Episode 1113: 29264039 (episode=new, transcript=new)
Episode 1114: 29236326 (episode=new, transcript=new)
Episode 1115: 29236325 (episode=new, transcript=new)
Summary:
  episodes_new=993
  episodes_updated=0
  episodes_unchanged=122
  transcripts_new=989
  transcripts_updated=0
  transcripts_unchanged=120
  transcripts_missing=6
  transcripts_failed=0
